Well,x,y,MD,Z,PTI_TVT,DeltaCase,DeltaPressure
14,-5394.760000000009,6664.110000000335,2994.53,-2433.69,34.22,L18minusL14,-301.75999999999976
14,-5394.760000000009,6664.110000000335,2994.53,-2433.69,34.22,L18minusL16,-173.86000000000013
15,-4077.719999999972,7186.5099999997765,3052.15,-2396.25,33.0,S02minusS92,-1142.29
15,-4077.719999999972,7186.5099999997765,3052.15,-2396.25,33.0,S12minusS92,-668.4299999999998
15,-4077.719999999972,7186.5099999997765,3052.15,-2396.25,33.0,L6minusL1,-89.67000000000007
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,S02minusS92,-952.5099999999998
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,S12minusS92,-1702.0899999999997
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,S12minusS02,-749.5799999999999
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,L6minusL1,-131.32999999999993
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,L12minusL1,-133.45000000000027
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,L14minusL1,-514.8900000000003
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,L16minusL1,-440.22000000000025
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,L18minusL1,-720.3000000000002
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,L12minusL6,-2.1200000000003456
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,L14minusL6,-383.5600000000004
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,L16minusL6,-308.8900000000003
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,L18minusL6,-588.9700000000003
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,L14minusL12,-381.44000000000005
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,L16minusL12,-306.77
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,L18minusL12,-586.8499999999999
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,L18minusL14,-205.40999999999985
16,-3894.429999999993,6854.040000000037,2758.02,-2406.37,15.88,L18minusL16,-280.0799999999999
17,-5756.729999999981,5910.719999999739,3215.5,-2438.0,46.0,S02minusS92,-1060.0800000000004
17,-5756.729999999981,5910.719999999739,3215.5,-2438.0,46.0,S12minusS92,-519.2900000000004
17,-5756.729999999981,5910.719999999739,3215.5,-2438.0,46.0,L6minusL1,-124.48000000000002
17,-5756.729999999981,5910.719999999739,3215.5,-2438.0,46.0,L14minusL12,-733.96
17,-5756.729999999981,5910.719999999739,3215.5,-2438.0,46.0,L16minusL12,-1160.5099999999998
