,Well,x,y,MD,Z,PTI_TVT,DeltaCase,DeltaPressure,co,ai,4D qual Fact
228,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,L6minusL1,-85.01000000000022,-6.29,0.39,100.0
229,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,L12minusL1,-938.9800000000004,-15.99,6.15,100.0
230,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,L14minusL1,-1121.33,-34.07,7.58,100.0
231,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,L16minusL1,-820.54,-19.22,8.03,100.0
232,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,L18minusL1,-2334.2500000000005,-69.88,11.99,100.0
233,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,L12minusL6,-853.9700000000003,-10.41,7.44,100.0
234,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,L14minusL6,-1036.3199999999997,-33.72,8.93,100.0
235,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,L16minusL6,-735.5299999999997,-33.72,9.35,100.0
236,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,L18minusL6,-2249.24,-65.97,13.22,100.0
237,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,L14minusL12,-182.34999999999943,-8.98,1.49,100.0
238,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,L18minusL12,-1395.27,-40.18,5.88,100.0
239,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,L18minusL14,-1212.9200000000005,-29.76,4.44,100.0
240,20,-2702.780000000028,12178.280000000259,2898.88,-2629.99,14.0,L18minusL16,-1513.7100000000007,-35.67,3.96,100.0
241,21,-4552.650000000023,8101.370000000113,2827.99,-2420.19,52.92,S02minusS92,-420.29000000000036,2.49,12.03,70.92
242,21,-4552.650000000023,8101.370000000113,2827.99,-2420.19,52.92,S12minusS92,-2802.05,5.91,24.16,70.92
243,21,-4552.650000000023,8101.370000000113,2827.99,-2420.19,52.92,S12minusS02,-2381.76,3.57,13.51,70.92
244,21,-4552.650000000023,8101.370000000113,2827.99,-2420.19,52.92,L6minusL1,-906.4699999999997,-63.33,2.14,70.92
245,21,-4552.650000000023,8101.370000000113,2827.99,-2420.19,52.92,L12minusL1,-1521.3399999999995,-81.2,5.59,70.92
246,21,-4552.650000000023,8101.370000000113,2827.99,-2420.19,52.92,L14minusL1,-1691.11,-97.26,8.12,70.92
247,21,-4552.650000000023,8101.370000000113,2827.99,-2420.19,52.92,L16minusL1,-1464.1699999999996,-109.86,7.38,70.92
248,21,-4552.650000000023,8101.370000000113,2827.99,-2420.19,52.92,L18minusL1,-1243.8299999999995,-114.97,7.52,70.92
249,21,-4552.650000000023,8101.370000000113,2827.99,-2420.19,52.92,L12minusL6,-614.8699999999999,-20.61,3.77,70.92
250,21,-4552.650000000023,8101.370000000113,2827.99,-2420.19,52.92,L14minusL6,-784.6400000000001,-44.1,6.4,70.92
251,21,-4552.650000000023,8101.370000000113,2827.99,-2420.19,52.92,L16minusL6,-557.7,-44.1,5.62,70.92
252,21,-4552.650000000023,8101.370000000113,2827.99,-2420.19,52.92,L18minusL6,-337.3599999999999,-61.98,5.79,70.92
253,21,-4552.650000000023,8101.370000000113,2827.99,-2420.19,52.92,L14minusL12,-169.77000000000018,-10.69,2.63,70.92
268,23,-7052.650000000023,7333.25,4149.6,-2593.76,7.56,S02minusS92,-594.8900000000002,1.17,0.74,95.36
269,23,-7052.650000000023,7333.25,4149.6,-2593.76,7.56,S12minusS92,-962.59,1.54,0.96,95.36
270,23,-7052.650000000023,7333.25,4149.6,-2593.76,7.56,S12minusS02,-367.6999999999999,0.47,0.32,95.36
271,23,-7052.650000000023,7333.25,4149.6,-2593.76,7.56,L6minusL1,-82.26000000000022,-7.23,0.11,95.36
